trans_id,lang,translation
"http://aikataulut.hsl.fi/pysakit/fi/4720222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720222.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720223.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4680246.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4680246.html"
"http://aikataulut.hsl.fi/pysakit/fi/4630205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4630205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4630206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4630206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4830207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4830207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860249.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860249.html"
"http://aikataulut.hsl.fi/pysakit/fi/4400209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4400209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4400210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4400210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4300205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4300205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4750206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4750206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4750207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4750207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860237.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520272.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520272.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520273.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520273.html"
"http://aikataulut.hsl.fi/pysakit/fi/4180210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4180210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4180211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4180211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4310207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4310207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4310208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4310208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4250205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4250205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4840221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4840221.html"
"http://aikataulut.hsl.fi/pysakit/fi/4130213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4130213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4130214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4130214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4830214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4830214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4830215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4830215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4210229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4210229.html"
"http://aikataulut.hsl.fi/pysakit/fi/4210245.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4210245.html"
"http://aikataulut.hsl.fi/pysakit/fi/4200209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4200209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4200210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4200210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4200203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4200203.html"
"http://aikataulut.hsl.fi/pysakit/fi/4200204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4200204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4870298.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4870298.html"
"http://aikataulut.hsl.fi/pysakit/fi/4870299.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4870299.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510237.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510239.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510239.html"
"http://aikataulut.hsl.fi/pysakit/fi/4180237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4180237.html"
"http://aikataulut.hsl.fi/pysakit/fi/4330227.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4330227.html"
"http://aikataulut.hsl.fi/pysakit/fi/4330228.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4330228.html"
"http://aikataulut.hsl.fi/pysakit/fi/4330224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4330224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4920201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4920201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4920202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4920202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860235.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860235.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860236.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860236.html"
"http://aikataulut.hsl.fi/pysakit/fi/4930231.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4930231.html"
"http://aikataulut.hsl.fi/pysakit/fi/4930234.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4930234.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960294.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960294.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960295.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960295.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410263.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410263.html"
"http://aikataulut.hsl.fi/pysakit/fi/4970201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4970201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510219.html"
"http://aikataulut.hsl.fi/pysakit/fi/4640231.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4640231.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410241.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410241.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410242.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410242.html"
"http://aikataulut.hsl.fi/pysakit/fi/4400208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4400208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4680203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4680203.html"
"http://aikataulut.hsl.fi/pysakit/fi/4680204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4680204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520274.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520274.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520246.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520246.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520247.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520247.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4150221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4150221.html"
"http://aikataulut.hsl.fi/pysakit/fi/4150222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4150222.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4120212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4120212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4120206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4120206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4120211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4120211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4120218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4120218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4970223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4970223.html"
"http://aikataulut.hsl.fi/pysakit/fi/4970224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4970224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4750214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4750214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4750217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4750217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4750222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4750222.html"
"http://aikataulut.hsl.fi/pysakit/fi/4970221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4970221.html"
"http://aikataulut.hsl.fi/pysakit/fi/4970222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4970222.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140254.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140254.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140255.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140255.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170250.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170250.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4150202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4150202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4150228.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4150228.html"
"http://aikataulut.hsl.fi/pysakit/fi/4250207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4250207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4250208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4250208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170219.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170290.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170290.html"
"http://aikataulut.hsl.fi/pysakit/fi/4910220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4910220.html"
"http://aikataulut.hsl.fi/pysakit/fi/4910225.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4910225.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4240209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4240209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4240210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4240210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4340212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4340212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4340213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4340213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4930210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4930210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4930211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4930211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4630220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4630220.html"
"http://aikataulut.hsl.fi/pysakit/fi/4920207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4920207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4920208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4920208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740219.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740220.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740221.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4850203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4850203.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4860215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4860215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940296.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940296.html"
"http://aikataulut.hsl.fi/pysakit/fi/4940297.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4940297.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730501.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730501.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730551.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730551.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720205.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730298.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730298.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320214.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960233.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960233.html"
"http://aikataulut.hsl.fi/pysakit/fi/4810210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4810210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4810211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4810211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140236.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140236.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960239.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960239.html"
"http://aikataulut.hsl.fi/pysakit/fi/4960240.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4960240.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320203.html"
"http://aikataulut.hsl.fi/pysakit/fi/4320204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4320204.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230232.html"
"http://aikataulut.hsl.fi/pysakit/fi/4240202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4240202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4240219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4240219.html"
"http://aikataulut.hsl.fi/pysakit/fi/4730208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4730208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4950203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4950203.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410229.html"
"http://aikataulut.hsl.fi/pysakit/fi/4410230.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4410230.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230223.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520231.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520231.html"
"http://aikataulut.hsl.fi/pysakit/fi/4500222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4500222.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740210.html"
"http://aikataulut.hsl.fi/pysakit/fi/4740211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4740211.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230236.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230236.html"
"http://aikataulut.hsl.fi/pysakit/fi/4230237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4230237.html"
"http://aikataulut.hsl.fi/pysakit/fi/4710217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4710217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4710218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4710218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4240221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4240221.html"
"http://aikataulut.hsl.fi/pysakit/fi/4710238.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4710238.html"
"http://aikataulut.hsl.fi/pysakit/fi/4710239.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4710239.html"
"http://aikataulut.hsl.fi/pysakit/fi/4870209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4870209.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4670216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4670216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4210201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4210201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4210202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4210202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4400215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4400215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4400216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4400216.html"
"http://aikataulut.hsl.fi/pysakit/fi/4140243.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4140243.html"
"http://aikataulut.hsl.fi/pysakit/fi/4520271.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4520271.html"
"http://aikataulut.hsl.fi/pysakit/fi/4870207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4870207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4870208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4870208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700207.html"
"http://aikataulut.hsl.fi/pysakit/fi/4700208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4700208.html"
"http://aikataulut.hsl.fi/pysakit/fi/4640206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4640206.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720201.html"
"http://aikataulut.hsl.fi/pysakit/fi/4720202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4720202.html"
"http://aikataulut.hsl.fi/pysakit/fi/4930225.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4930225.html"
"http://aikataulut.hsl.fi/pysakit/fi/4640215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4640215.html"
"http://aikataulut.hsl.fi/pysakit/fi/4640224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4640224.html"
"http://aikataulut.hsl.fi/pysakit/fi/4660296.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4660296.html"
"http://aikataulut.hsl.fi/pysakit/fi/4650217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4650217.html"
"http://aikataulut.hsl.fi/pysakit/fi/4650218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4650218.html"
"http://aikataulut.hsl.fi/pysakit/fi/4650240.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4650240.html"
"http://aikataulut.hsl.fi/pysakit/fi/4650241.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4650241.html"
"http://aikataulut.hsl.fi/pysakit/fi/4220232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4220232.html"
"http://aikataulut.hsl.fi/pysakit/fi/4220233.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4220233.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510212.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510213.html"
"http://aikataulut.hsl.fi/pysakit/fi/4510225.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4510225.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170233.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170233.html"
"http://aikataulut.hsl.fi/pysakit/fi/4170234.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/4170234.html"
