trans_id,lang,translation
"Sihteerintie",fi,"Sihteerintie"
"Saariniemenkatu",fi,"Saariniemenkatu"
"Hernesaarenranta",fi,"Hernesaarenranta"
"Rajakulmantie",fi,"Rajakulmantie"
"Kuninkaankartanontie",sv,"Kungsgårdsvägen"
"Kilon asema",fi,"Kilon asema"
"Kalasatama",fi,"Kalasatama"
"Nro 1250043",fi,"Nro 1250043"
"Pikkala tehdas th",sv,"Pickala fabrik vgs"
"Pietarniityntie 13",sv,"Renfanevägen 13"
"Kuismapolku 8",sv,"Mannablodsstigen 8"
"Lapinrinne",sv,"Lappbrinken"
"Puolimatkan kp",sv,"Puolimatkan kp"
"Matink-Kivenl",fi,"Matink-Kivenl"
"Abrahaminkatu 1-5",fi,"Abrahaminkatu 1-5"
"Hiomotie 3",sv,"Sliperivägen 3"
"Rautatientori - Nikkilä - Pornainen",fi,"Rautatientori - Nikkilä - Pornainen"
"Itäkesk. uimahalli",fi,"Itäkesk. uimahalli"
"Fasaaninpolku",fi,"Fasaaninpolku"
"Gustavelund",fi,"Gustavelund"
"Hiekkamäki",fi,"Hiekkamäki"
"Uuttu",sv,"Uuttu"
"Taistelukoulu",sv,"Taistelukoulu"
"Ohjaajantie 14",fi,"Ohjaajantie 14"
"Ruosilantie 10",sv,"Rosasvägen 10"
"Vuosaari(M)-Porslahdentie",fi,"Vuosaari(M)-Porslahdentie"
"Vattuniemenkatu",fi,"Vattuniemenkatu"
"Pikkujärventie",fi,"Pikkujärventie"
"Kolmiranta",fi,"Kolmiranta"
"Fira",fi,"Fira"
"Hyrylän urheilukesku",sv,"Hyrylän urheilukesku"
"Matinkylä term.",fi,"Matinkylä term."
"Soukka-Kivenlahti-Latokaski-Espoon keskus-Jorvi",sv,"Sökö-Stensvik-Ladusved-Esbo centrum-Jorv"
"Ilmala-Kuninkm",sv,"Ilmala-Kungsb"
"Pengerpolku",fi,"Pengerpolku"
"Kalliosola etelä",fi,"Kalliosola etelä"
"Hietaniemenkatu 27",fi,"Hietaniemenkatu 27"
"Veikkola",fi,"Veikkola"
"Sumukuja",sv,"Dimgränden"
"Torkkelinkatu",fi,"Torkkelinkatu"
"Leppävaara, lait. 22",fi,"Leppävaara, lait. 22"
"Koivistontie",fi,"Koivistontie"
"Munkinmäentie",sv,"Munkkullavägen"
"Elontie 31",fi,"Elontie 31"
"Hiidenkiukaantie 6",sv,"Jätterösvägen 6"
"Kaupinkalliontie",sv,"Krämarbergsvägen"
"Matinkylä-Soukanniem",fi,"Matinkylä-Soukanniem"
"Fleminginkatu",fi,"Fleminginkatu"
"Båskis",fi,"Båskis"
"Myyrmäki (Honkasuo)",fi,"Myyrmäki (Honkasuo)"
"Myyrmäki l.7 tulo",sv,"Myrbacka pf.7 ank."
"Kunnarlantie 31",sv,"Gunnarsvägen 31"
"Veikkola-Kaislampi",sv,"Veikkola-Kaislampi"
"Lukupolku",fi,"Lukupolku"
"Otonkuja",sv,"Ottogränden"
"Pikkalantie",sv,"Pickalavägen"
"Radiokatu 10",fi,"Radiokatu 10"
"Lepsämänjoki-Hännikäinen-Kalajärvi",fi,"Lepsämänjoki-Hännikäinen-Kalajärvi"
"Nummimäentie",fi,"Nummimäentie"
"Tuulikintie",fi,"Tuulikintie"
"Suurmetsäntie",sv,"Storskogsvägen"
"Rantakukankuja",sv,"Fackelblomsgränden"
"Vatakuja",fi,"Vatakuja"
"Tunturipolku",fi,"Tunturipolku"
"Maistraatintori",sv,"Magistratstorget"
"Nikkilän la-as.",sv,"Nickby busst. pf."
"Gesterbyntie",sv,"Gesterbyvägen"
"Karaniitty",fi,"Karaniitty"
"Hösmärinmäki",fi,"Hösmärinmäki"
"Hehkulanka",sv,"Glödtråden"
"Tapiola (M)",fi,"Tapiola (M)"
"Kämnerintie",fi,"Kämnerintie"
"Tiilenvalajantie",sv,"Tegelmakarvägen"
"Svennas",sv,"Svennas"
"Valpurintie",sv,"Valborgsvägen"
"Rautatientori - Latokartano",fi,"Rautatientori - Latokartano"
"Rajakenttä",fi,"Rajakenttä"
"Kaivomestari",sv,"Brunnsmästaren"
"Myllypadontie 6",sv,"Kvarndammsvägen 6"
"Bredantie 16",sv,"Bredavägen 16"
"Myllypadontie",sv,"Kvarndammsvägen"
"Santamaantie",sv,"Santamaavägen"
"Kontulankaari 11",fi,"Kontulankaari 11"
"Eliel-Lentosema",sv,"Eliel-Flygplatsen"
"Pohj. Makasiinikatu",sv,"Norra Magasinsgatan"
"Paalukuja",sv,"Pålgränden"
"Harjusuon puisto",sv,"Åskärrs park"
"Massbyntie",sv,"Massbyvägen"
