stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type
2714208,E7119,"Apilarinne","Anfallintie",60.269220,24.721460,02,http://aikataulut.hsl.fi/pysakit/fi/2714208.html,0, ,0,,3
2714209,E7120,"Apilarinne","Anfallintie",60.269330,24.721450,02,http://aikataulut.hsl.fi/pysakit/fi/2714209.html,0, ,0,,3
2714210,E7191,"Kuokankaari","Perusmäen puistotie",60.288488,24.719048,02,http://aikataulut.hsl.fi/pysakit/fi/2714210.html,0, ,0,,3
2714211,E7192,"Kuokankaari","Perusmäen puistotie",60.288340,24.719273,02,http://aikataulut.hsl.fi/pysakit/fi/2714211.html,0, ,0,,3
2714217,E7121,"Minttupelto","Anfallintie",60.266560,24.735110,02,http://aikataulut.hsl.fi/pysakit/fi/2714217.html,0, ,0,,3
2714218,E7122,"Minttupelto","Juvankartanontie",60.266260,24.737170,02,http://aikataulut.hsl.fi/pysakit/fi/2714218.html,0, ,0,,3
2714219,E7123,"Anfallinkuja","Anfallintie",60.267880,24.729150,02,http://aikataulut.hsl.fi/pysakit/fi/2714219.html,0, ,0,,3
2714220,E7124,"Anfallinkuja","Anfallintie",60.267660,24.730430,02,http://aikataulut.hsl.fi/pysakit/fi/2714220.html,0, ,0,,3
2714221,E7125,"Viiskorpi","Anfallintie",60.267550,24.723300,02,http://aikataulut.hsl.fi/pysakit/fi/2714221.html,0, ,0,,3
2714222,E7126,"Viiskorpi","Anfallintie",60.267940,24.721790,02,http://aikataulut.hsl.fi/pysakit/fi/2714222.html,0, ,0,,3
2714224,E7127,"Lambert","Anfallintie",60.273370,24.722790,02,http://aikataulut.hsl.fi/pysakit/fi/2714224.html,0, ,0,,3
2714225,E7128,"Gobbackanportti","Anfallintie",60.275230,24.717080,02,http://aikataulut.hsl.fi/pysakit/fi/2714225.html,0, ,0,,3
2714226,E7129,"Gobbackanportti","Anfallintie",60.275050,24.718380,02,http://aikataulut.hsl.fi/pysakit/fi/2714226.html,0, ,0,,3
2714227,E7130,"Gobbackanportti","Anfallintie",60.275300,24.715060,02,http://aikataulut.hsl.fi/pysakit/fi/2714227.html,0, ,0,,3
2714229,E7131,"Kiilaniitty","Koskelontie",60.265850,24.732510,02,http://aikataulut.hsl.fi/pysakit/fi/2714229.html,0, ,0,,3
2714230,E7132,"Minttupelto","Koskelontie",60.266370,24.734760,02,http://aikataulut.hsl.fi/pysakit/fi/2714230.html,0, ,0,,3
2714232,E7133,"Lambert","Anfallintie",60.273360,24.722980,02,http://aikataulut.hsl.fi/pysakit/fi/2714232.html,0, ,0,,3
2714233,E7134,"Kiilaniitty","Koskelontie",60.265410,24.730650,02,http://aikataulut.hsl.fi/pysakit/fi/2714233.html,0, ,0,,3
2714244,E7137,"Niipperinniitty","Niipperintie",60.293970,24.741640,02,http://aikataulut.hsl.fi/pysakit/fi/2714244.html,0, ,0,,3
2714245,E7138,"Niipperinniitty","Niipperintie",60.293710,24.742480,02,http://aikataulut.hsl.fi/pysakit/fi/2714245.html,0, ,0,,3
2714246,E7139,"Antinmäki","Niipperintie",60.295680,24.737860,02,http://aikataulut.hsl.fi/pysakit/fi/2714246.html,0, ,0,,3
